学校规模分类,学校ID,学校名称,标准部门编码,标准部门,管理部门(原),一级管理部门编码,一级管理部门,二级管理部门,管理项目,产品体系,产品品类,年级序数,科目,产品品牌,学习阶段,留学阶段,针对人群,项目,班级编号,班级名称,班级状态,开课日期,实际开课日期,实际结课日期,标准人数,当前人数,主教学区,教学区,季度,业务归属年,开课财季,开课财年,所属财年,年,月份,财年,财季,财月,班级归属开始季度(四季),班级归属开始季度(分春上春下),期末预收款总额,结转收入(含税),累计结转收入(含税),结课收入,期末预收款余额,当期实现收入(不含税),当期应交销项税,累计实现收入(不含税),累计应交销项税,本月结转课时,共计课时(分钟),当期完成课时(分钟),当期累计完成课时(分钟),未完成课时(分钟),当月全部结束课次,全部结束课次,系统来源,课程产品名称,班容类型,产品分类,产品分类名称
NULL,1248,香港国际教育,30,国外考试部,,2200037560,香港国际教育培训中心,,初中,常规体系,IELTS,不区分,阅读,,,,,,LP17644012242122,,,,,,,,香港国际教育旺角留学考试中心,香港国际教育旺角留学考试中心,"寒假,春季,暑假,秋季",,,,,2025,202512,2026,20263,202607,,,,1700,,,,1700,0,,,2,480,120,480,0,,,高端,,,10202,1对1课时包
NULL,1248,香港国际教育,30,国外考试部,,2200037560,香港国际教育培训中心,,初中,常规体系,IELTS,不区分,阅读,,,,,,LP17644012242122,,,,,,,,香港国际教育旺角留学考试中心,香港国际教育旺角留学考试中心,"寒假,春季,暑假,秋季",,,,,2025,202512,2026,20263,202607,,,,1700,,,,1700,0,,,2,480,120,480,0,,,高端,,,10202,1对1课时包
NULL,1248,香港国际教育,30,国外考试部,,2200037560,香港国际教育培训中心,,初中,常规体系,IELTS,不区分,阅读,,,,,,LP17654431572551,,,,,,,,香港国际教育旺角留学考试中心,香港国际教育旺角留学考试中心,"寒假,春季,暑假,秋季",,,,,2025,202512,2026,20263,202607,,,,850,,,,850,0,,,1,240,60,180,60,,,高端,,,10202,1对1课时包
NULL,1248,香港国际教育,30,国外考试部,,2200037560,香港国际教育培训中心,,大学雅思,常规体系,IELTS,不区分,写作,,,,,,LP17531748931683,,,,,,,,香港国际教育旺角留学考试中心,香港国际教育旺角留学考试中心,"寒假,春季,暑假,秋季",,,,,2025,202507,2026,20261,202602,,,,3060,,,,3060,0,,,4,2400,240,2400,0,,,高端,,,10202,1对1课时包
NULL,1248,香港国际教育,30,国外考试部,,2200037560,香港国际教育培训中心,,大学雅思,常规体系,IELTS,不区分,口语,,,,,,LP17531748931683,,,,,,,,香港国际教育旺角留学考试中心,香港国际教育旺角留学考试中心,"寒假,春季,暑假,秋季",,,,,2025,202507,2026,20261,202602,,,,1530,,,,1530,0,,,2,2400,120,2400,0,,,高端,,,10202,1对1课时包
NULL,1248,香港国际教育,30,国外考试部,,2200037560,香港国际教育培训中心,,大学雅思,常规体系,IELTS,不区分,口语,,,,,,LP17531748931683,,,,,,,,香港国际教育旺角留学考试中心,香港国际教育旺角留学考试中心,"寒假,春季,暑假,秋季",,,,,2025,202507,2026,20261,202602,,,,4590,,,,4590,0,,,6,2400,360,2400,0,,,高端,,,10202,1对1课时包
NULL,1248,香港国际教育,30,国外考试部,,2200037560,香港国际教育培训中心,,大学雅思,常规体系,IELTS,不区分,口语,,,,,,LP17531748931683,,,,,,,,香港国际教育旺角留学考试中心,香港国际教育旺角留学考试中心,"寒假,春季,暑假,秋季",,,,,2025,202507,2026,20261,202602,,,,1530,,,,1530,0,,,2,2400,120,2400,0,,,高端,,,10202,1对1课时包
NULL,1248,香港国际教育,30,国外考试部,,2200037560,香港国际教育培训中心,,大学雅思,常规体系,IELTS,不区分,口语,,,,,,LP17531748931683,,,,,,,,香港国际教育旺角留学考试中心,香港国际教育旺角留学考试中心,"寒假,春季,暑假,秋季",,,,,2025,202507,2026,20261,202602,,,,1530,,,,1530,0,,,2,2400,120,2400,0,,,高端,,,10202,1对1课时包
NULL,1248,香港国际教育,30,国外考试部,,2200037560,香港国际教育培训中心,,大学雅思,常规体系,IELTS,不区分,听力,,,,,,LP17531748931683,,,,,,,,香港国际教育旺角留学考试中心,香港国际教育旺角留学考试中心,"寒假,春季,暑假,秋季",,,,,2025,202507,2026,20261,202602,,,,6120,,,,6120,0,,,8,2400,480,2400,0,,,高端,,,10202,1对1课时包
NULL,1248,香港国际教育,30,国外考试部,,2200037560,香港国际教育培训中心,,大学雅思,常规体系,IELTS,不区分,听力,,,,,,LP17531748931683,,,,,,,,香港国际教育旺角留学考试中心,香港国际教育旺角留学考试中心,"寒假,春季,暑假,秋季",,,,,2025,202507,2026,20261,202602,,,,1530,,,,1530,0,,,2,2400,120,2400,0,,,高端,,,10202,1对1课时包
NULL,1248,香港国际教育,30,国外考试部,,2200037560,香港国际教育培训中心,,大学雅思,常规体系,IELTS,不区分,阅读,,,,,,LP17531748931683,,,,,,,,香港国际教育旺角留学考试中心,香港国际教育旺角留学考试中心,"寒假,春季,暑假,秋季",,,,,2025,202507,2026,20261,202602,,,,1530,,,,1530,0,,,2,2400,120,2400,0,,,高端,,,10202,1对1课时包
NULL,1248,香港国际教育,30,国外考试部,,2200037560,香港国际教育培训中心,,大学雅思,常规体系,IELTS,不区分,阅读,,,,,,LP17531748931683,,,,,,,,香港国际教育旺角留学考试中心,香港国际教育旺角留学考试中心,"寒假,春季,暑假,秋季",,,,,2025,202507,2026,20261,202602,,,,7650,,,,7650,0,,,10,2400,600,2400,0,,,高端,,,10202,1对1课时包
NULL,1248,香港国际教育,30,国外考试部,,2200037560,香港国际教育培训中心,,大学雅思,常规体系,IELTS,不区分,阅读,,,,,,LP17531748931683,,,,,,,,香港国际教育旺角留学考试中心,香港国际教育旺角留学考试中心,"寒假,春季,暑假,秋季",,,,,2025,202507,2026,20261,202602,,,,1530,,,,1530,0,,,2,2400,120,2400,0,,,高端,,,10202,1对1课时包
NULL,1248,香港国际教育,30,国外考试部,,2200037560,香港国际教育培训中心,,大学雅思,常规体系,IELTS,不区分,听力,,,,,,LP17588813031271,,,,,,,,香港国际教育旺角留学考试中心,香港国际教育旺角留学考试中心,"寒假,春季,暑假,秋季",,,,,2025,202510,2026,20262,202605,,,,964.45,,,,964.45,0,,,2,1080,120,240,840,,,高端,,,10202,1对1课时包
NULL,1248,香港国际教育,30,国外考试部,,2200037560,香港国际教育培训中心,,大学雅思,常规体系,IELTS,不区分,听力,,,,,,LP1758171018569,,,,,,,,香港国际教育旺角留学考试中心,香港国际教育旺角留学考试中心,"寒假,春季,暑假,秋季",,,,,2025,202510,2026,20262,202605,,,,6355.55,,,,6355.55,0,,,8,1080,480,1080,0,,,高端,,,10202,1对1课时包
NULL,1248,香港国际教育,30,国外考试部,,2200037560,香港国际教育培训中心,,大学雅思,常规体系,IELTS,不区分,听力,,,,,,LP17588818161283,,,,,,,,香港国际教育旺角留学考试中心,香港国际教育旺角留学考试中心,"寒假,春季,暑假,秋季",,,,,2025,202510,2026,20262,202605,,,,964.45,,,,964.45,0,,,2,1080,120,240,840,,,高端,,,10202,1对1课时包
NULL,1248,香港国际教育,30,国外考试部,,2200037560,香港国际教育培训中心,,大学雅思,常规体系,IELTS,不区分,阅读,,,,,,LP17588813031271,,,,,,,,香港国际教育旺角留学考试中心,香港国际教育旺角留学考试中心,"寒假,春季,暑假,秋季",,,,,2025,202510,2026,20262,202605,,,,964.44,,,,964.44,0,,,2,1080,120,240,840,,,高端,,,10202,1对1课时包
NULL,1248,香港国际教育,30,国外考试部,,2200037560,香港国际教育培训中心,,大学雅思,常规体系,IELTS,不区分,阅读,,,,,,LP1758171018569,,,,,,,,香港国际教育旺角留学考试中心,香港国际教育旺角留学考试中心,"寒假,春季,暑假,秋季",,,,,2025,202510,2026,20262,202605,,,,7944.45,,,,7944.45,0,,,10,1080,600,1080,0,,,高端,,,10202,1对1课时包
NULL,1248,香港国际教育,30,国外考试部,,2200037560,香港国际教育培训中心,,大学雅思,常规体系,IELTS,不区分,阅读,,,,,,LP17588818161283,,,,,,,,香港国际教育旺角留学考试中心,香港国际教育旺角留学考试中心,"寒假,春季,暑假,秋季",,,,,2025,202510,2026,20262,202605,,,,964.44,,,,964.44,0,,,2,1080,120,240,840,,,高端,,,10202,1对1课时包
NULL,1248,香港国际教育,30,国外考试部,,2200037560,香港国际教育培训中心,,大学雅思,常规体系,IELTS,不区分,写作,,,,,,LP17588813031271,,,,,,,,香港国际教育旺角留学考试中心,香港国际教育旺角留学考试中心,"寒假,春季,暑假,秋季",,,,,2025,202511,2026,20262,202606,,,,964.44,,,,964.44,0,,,2,1080,120,600,480,,,高端,,,10202,1对1课时包
NULL,1248,香港国际教育,30,国外考试部,,2200037560,香港国际教育培训中心,,大学雅思,常规体系,IELTS,不区分,写作,,,,,,LP17588818161283,,,,,,,,香港国际教育旺角留学考试中心,香港国际教育旺角留学考试中心,"寒假,春季,暑假,秋季",,,,,2025,202511,2026,20262,202606,,,,964.44,,,,964.44,0,,,2,1080,120,600,480,,,高端,,,10202,1对1课时包
NULL,1248,香港国际教育,30,国外考试部,,2200037560,香港国际教育培训中心,,大学雅思,常规体系,IELTS,不区分,听力,,,,,,LP17588813031271,,,,,,,,香港国际教育旺角留学考试中心,香港国际教育旺角留学考试中心,"寒假,春季,暑假,秋季",,,,,2025,202511,2026,20262,202606,,,,964.44,,,,964.44,0,,,2,1080,120,600,480,,,高端,,,10202,1对1课时包
NULL,1248,香港国际教育,30,国外考试部,,2200037560,香港国际教育培训中心,,大学雅思,常规体系,IELTS,不区分,听力,,,,,,LP17588818161283,,,,,,,,香港国际教育旺角留学考试中心,香港国际教育旺角留学考试中心,"寒假,春季,暑假,秋季",,,,,2025,202511,2026,20262,202606,,,,964.44,,,,964.44,0,,,2,1080,120,600,480,,,高端,,,10202,1对1课时包
NULL,1248,香港国际教育,30,国外考试部,,2200037560,香港国际教育培训中心,,大学雅思,常规体系,IELTS,不区分,阅读,,,,,,LP17588813031271,,,,,,,,香港国际教育旺角留学考试中心,香港国际教育旺角留学考试中心,"寒假,春季,暑假,秋季",,,,,2025,202511,2026,20262,202606,,,,964.45,,,,964.45,0,,,2,1080,120,600,480,,,高端,,,10202,1对1课时包
NULL,1248,香港国际教育,30,国外考试部,,2200037560,香港国际教育培训中心,,大学雅思,常规体系,IELTS,不区分,阅读,,,,,,LP17588818161283,,,,,,,,香港国际教育旺角留学考试中心,香港国际教育旺角留学考试中心,"寒假,春季,暑假,秋季",,,,,2025,202511,2026,20262,202606,,,,964.45,,,,964.45,0,,,2,1080,120,600,480,,,高端,,,10202,1对1课时包
